P110_augmented	P31_has_modified
P112_diminished	P31_has_modified
P56_bears_feature	P46_is_composed_of
P50_has_current_keeper	P49_has_former_or_current_keeper
P109_has_current_or_former_curator	P49_has_former_or_current_keeper
P52_has_current_owner	P51_has_former_or_current_owner
P55_has_current_location	P53_has_former_or_current_location
P156_occupies	P53_has_former_or_current_location
P68_foresees_use_of	P67_refers_to
P70_documents	P67_refers_to
P71_lists	P67_refers_to
P129_is_about	P67_refers_to
P138_represents	P67_refers_to
P180_has_currency	P91_has_unit
P94_has_created	P92_brought_into_existence
P95_has_formed	P92_brought_into_existence
P98_brought_into_life	P92_brought_into_existence
P108_has_produced	P92_brought_into_existence
P123_resulted_in	P92_brought_into_existence
P13_destroyed	P93_took_out_of_existence
P99_dissolved	P93_took_out_of_existence
P100_was_death_of	P93_took_out_of_existence
P124_transformed	P93_took_out_of_existence
P135_created_type	P94_has_created
P52_has_current_owner	P105_right_held_by
P32_used_general_technique	P125_used_object_of_type
P65_shows_visual_item	P128_carries
P128_carries	P130_shows_features_of
P10_falls_within	P132_spatiotemporally_overlaps_with
P34_concerned	P140_assigned_attribute_to
P39_measured	P140_assigned_attribute_to
P41_classified	P140_assigned_attribute_to
P35_has_identified	P141_assigned
P37_assigned	P141_assigned
P38_deassigned	P141_assigned
P40_observed_dimension	P141_assigned
P42_assigned	P141_assigned
P164_is_temporally_specified_by	P160_has_temporal_projection
P174_starts_before_the_end_of	P173_starts_before_or_with_the_end_of
P175_starts_before_or_with_the_start_of	P174_starts_before_the_end_of
P184_ends_before_or_with_the_end_of	P174_starts_before_the_end_of
P176_starts_before_the_start_of	P175_starts_before_or_with_the_start_of
P182_ends_before_or_with_the_start_of	P176_starts_before_the_start_of
P183_ends_before_the_start_of	P182_ends_before_or_with_the_start_of
P185_ends_before_the_end_of	P184_ends_before_or_with_the_end_of
P182_ends_before_or_with_the_start_of	P185_ends_before_the_end_of
P58_has_section_definition	P1_is_identified_by
P78_is_identified_by	P1_is_identified_by
P83_had_at_least_duration	P191_had_duration
P84_had_at_most_duration	P191_had_duration
P87_is_identified_by	P1_is_identified_by
P131_is_identified_by	P1_is_identified_by
P149_is_identified_by	P1_is_identified_by
P178_ends_after_or_with	P184_ends_before_or_with_the_end_of
n4o_Accession	E10_Transfer_of_Custody
n4o_AcquisitionType_Assignment	E17_Type_Assignment
n4o_Acquisition_Type	E55_Type
n4o_Activity_Type	E55_Type
n4o_Actor_Assignment	E13_Attribute_Assignment
n4o_Alternative_Title	E35_Title
n4o_Appellation_Assignment	E13_Attribute_Assignment
n4o_Appropriation	E10_Transfer_of_Custody
n4o_Appropriation_Type	E55_Type
n4o_Audiofile	E73_Information_Object
n4o_Authorityfile	E32_Authority_Document
n4o_Authorityfile_ID	E42_Identifier
n4o_Collectionsystematics	E55_Type
n4o_Collectionsystematics_Assignment	E17_Type_Assignment
n4o_Comment	E31_Document
n4o_Commissioning	E7_Activity
n4o_Corporate_Body	E74_Group
n4o_Deaccession	E10_Transfer_of_Custody
n4o_Description	E31_Document
n4o_Dimension_Type	E55_Type
n4o_Encounter_Event	E7_Activity
n4o_Environment	E27_Site
n4o_Environmental_Affiliation	E5_Event
n4o_Excavation	E7_Activity
n4o_Exhibition	E87_Curation_Activity
n4o_Exhibition_Type	E55_Type
n4o_Existence	E5_Event
n4o_Expedition	E7_Activity
n4o_Field_Work	E7_Activity
n4o_File	E73_Information_Object
n4o_Finding	E73_Information_Object
n4o_Foundation	E63_Beginning_of_Existence
